insitu_leq,gain_s,soundscape,monotonous,annoying,calm,uneventful,vibrant,chaotic,eventful,pleasant,fold_r,participant,masker,fold_m,class,site,site_index,citation,license,comments,gain_46dB,leq_at_gain_46dB,gain_47dB,leq_at_gain_47dB,gain_48dB,leq_at_gain_48dB,gain_49dB,leq_at_gain_49dB,gain_50dB,leq_at_gain_50dB,gain_51dB,leq_at_gain_51dB,gain_52dB,leq_at_gain_52dB,gain_53dB,leq_at_gain_53dB,gain_54dB,leq_at_gain_54dB,gain_55dB,leq_at_gain_55dB,gain_56dB,leq_at_gain_56dB,gain_57dB,leq_at_gain_57dB,gain_58dB,leq_at_gain_58dB,gain_59dB,leq_at_gain_59dB,gain_60dB,leq_at_gain_60dB,gain_61dB,leq_at_gain_61dB,gain_62dB,leq_at_gain_62dB,gain_63dB,leq_at_gain_63dB,gain_64dB,leq_at_gain_64dB,gain_65dB,leq_at_gain_65dB,gain_66dB,leq_at_gain_66dB,gain_67dB,leq_at_gain_67dB,gain_68dB,leq_at_gain_68dB,gain_69dB,leq_at_gain_69dB,gain_70dB,leq_at_gain_70dB,gain_71dB,leq_at_gain_71dB,gain_72dB,leq_at_gain_72dB,gain_73dB,leq_at_gain_73dB,gain_74dB,leq_at_gain_74dB,gain_75dB,leq_at_gain_75dB,gain_76dB,leq_at_gain_76dB,gain_77dB,leq_at_gain_77dB,gain_78dB,leq_at_gain_78dB,gain_79dB,leq_at_gain_79dB,gain_80dB,leq_at_gain_80dB,gain_81dB,leq_at_gain_81dB,gain_82dB,leq_at_gain_82dB,gain_83dB,leq_at_gain_83dB,Savg_m,Smax_m,Sargmax_m,S05_m,S10_m,S20_m,S30_m,S40_m,S50_m,S60_m,S70_m,S80_m,S90_m,S95_m,Navg_m,Nrmc_m,Nmax_m,Nargmax_m,N05_m,N10_m,N20_m,N30_m,N40_m,N50_m,N60_m,N70_m,N80_m,N90_m,N95_m,Favg_m,Fmax_m,Fargmax_m,F05_m,F10_m,F20_m,F30_m,F40_m,F50_m,F60_m,F70_m,F80_m,F90_m,F95_m,LAavg_m,LAmin_m,LAargmin_m,LAmax_m,LAargmax_m,LA05_m,LA10_m,LA20_m,LA30_m,LA40_m,LA50_m,LA60_m,LA70_m,LA80_m,LA90_m,LA95_m,LCavg_m,LCmin_m,LCargmin_m,LCmax_m,LCargmax_m,LC05_m,LC10_m,LC20_m,LC30_m,LC40_m,LC50_m,LC60_m,LC70_m,LC80_m,LC90_m,LC95_m,Ravg_m,Rmax_m,Rargmax_m,R05_m,R10_m,R20_m,R30_m,R40_m,R50_m,R60_m,R70_m,R80_m,R90_m,R95_m,Tgavg_m,Tavg_m,Tmax_m,Targmax_m,T05_m,T10_m,T20_m,T30_m,T40_m,T50_m,T60_m,T70_m,T80_m,T90_m,T95_m,M00005_0_m,M00006_3_m,M00008_0_m,M00010_0_m,M00012_5_m,M00016_0_m,M00020_0_m,M00025_0_m,M00031_5_m,M00040_0_m,M00050_0_m,M00063_0_m,M00080_0_m,M00100_0_m,M00125_0_m,M00160_0_m,M00200_0_m,M00250_0_m,M00315_0_m,M00400_0_m,M00500_0_m,M00630_0_m,M00800_0_m,M01000_0_m,M01250_0_m,M01600_0_m,M02000_0_m,M02500_0_m,M03150_0_m,M04000_0_m,M05000_0_m,M06300_0_m,M08000_0_m,M10000_0_m,M12500_0_m,M16000_0_m,M20000_0_m,smr,stimulus_index
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00001.wav,2,bird,Freesound,257445,"genghis attenborough, FS257445. Accessible at https://freesound.org/s/257445/.",Creative Commons Attribution-NonCommercial 3.0,Black-naped Oriole,0.008352,46.052392,0.01,47.075312,0.011631,48.023188,0.013454,49.007336,0.015554,50.071827,0.017696,51.04621,0.020093,52.057671,0.022753,53.019615,0.02572,54.012401,0.029024,55.007682,0.032708,56.005672,0.03727,57.099359,0.041819,58.073822,0.046921,59.054829,0.052649,60.038397,0.059073,61.027166,0.066283,62.020244,0.074368,63.011684,0.083451,64.00827,0.093636,65.004205,0.105071,66.003098,0.117893,67.002524,0.132286,68.00169,0.14843,69.001188,0.166557,70.000712,0.186887,71.001102,0.209709,72.002184,0.23532,73.002666,0.264059,74.004535,0.296294,75.006179,0.332486,76.007302,0.373078,77.008487,0.418635,78.009876,0.46975,79.011061,0.527131,80.011921,0.591528,81.013466,0.663735,82.01458,0.744786,83.015549,1.63,3.75,21.8,2.96,2.75,2.31,2.05,1.84,1.67,1.52,1.4,1.26,0.0,0.0,2.14,4.566198476,15.8,19.9,8.06,5.45,3.62,2.39,1.51,1.07,0.776,0.584,0.456,7.33e-09,0.0,0.0579,0.19,9.96,0.154,0.124,0.0857,0.0691,0.0576,0.0473,0.0403,0.0329,0.0223,0.0119,0.00576,60.03,5.61,0.0232,75.45,19.9,67.96,61.56,53.92,49.53,44.63,40.24,35.62,30.62,26.78,6.1,6.0,58.92,4.17,0.0058,74.35,19.9,66.83,60.69,52.63,48.02,43.38,38.95,34.44,29.85,27.07,4.49,4.37,0.0138,0.0849,3.49,0.0347,0.024,0.0171,0.0146,0.013,0.0117,0.0106,0.0093,0.00785,0.00339,0.00283,0.405,0.3,2.77,13.3,1.12,0.816,0.482,0.318,0.213,0.14,0.0709,0.0297,0.00816,0.000264,8.22e-05,-70.1,-68.75,-70.62,-99.07,-92.87,-86.37,-78.96,-72.53,-66.13,-60.77,-55.78,-49.85,-45.73,-41.81,-37.86,-33.57,-30.63,-27.3,-23.99,-21.28,15.39,17.87,18.67,36.79,48.16,59.12,31.63,35.06,32.51,39.06,39.44,34.6,28.2,9.96,15.2,-3.4,-1.54,0,1
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00002.wav,2,bird,Freesound,317450,"Tim Kahn, FS 317450. Accessible at https://freesound.org/s/317450.",Creative Commons Attribution-NonCommercial 3.0,Eastern Wood-Pewee,0.004222,46.033899,0.005047,47.066871,0.005862,48.027252,0.00683,49.084928,0.007787,50.056816,0.008849,51.026021,0.01004,52.023149,0.011355,53.013755,0.012829,54.011209,0.014633,55.099047,0.016417,56.067263,0.01842,57.034993,0.020668,58.019656,0.023189,59.003378,0.026018,59.993734,0.029191,60.983235,0.032751,61.977923,0.036747,62.973142,0.041229,63.970652,0.046259,64.968644,0.051907,65.969588,0.058239,66.969298,0.065345,67.968891,0.073316,68.969415,0.082262,69.97083,0.092308,70.972394,0.10357,71.972765,0.116215,72.9737,0.130399,73.975416,0.14632,74.978073,0.164188,75.979129,0.184222,76.980284,0.206726,77.982155,0.23197,78.983971,0.260288,79.984765,0.292071,80.986393,0.327743,81.988516,0.367775,82.990062,2.36,3.89,6.11,3.07,2.84,2.7,2.56,2.41,2.29,2.19,2.1,2.01,1.92,1.87,2.83,4.741611341,11.1,18.6,8.39,7.63,5.95,2.42,1.91,1.63,1.38,1.12,0.846,0.572,0.4,0.0652,0.116,6.47,0.105,0.0972,0.0883,0.0793,0.0703,0.0642,0.058,0.0538,0.0477,0.0346,0.022,57.88,25.38,0.557,68.67,18.6,64.69,63.5,61.04,55.28,45.94,41.54,39.99,38.34,36.6,33.35,30.88,56.1,23.78,0.557,66.85,18.6,62.91,61.73,59.27,53.52,44.18,39.88,38.32,36.65,34.93,31.71,29.23,0.00697,0.0373,12.2,0.0135,0.0111,0.00877,0.00742,0.00671,0.00616,0.00556,0.00498,0.00437,0.00359,0.00314,0.717,0.693,3.07,19.3,2.64,2.34,1.45,0.624,0.336,0.253,0.194,0.144,0.1,0.0614,0.0362,-69.91,-68.56,-70.43,-99.93,-92.9,-86.16,-78.43,-72.68,-66.62,-60.76,-55.81,-50.12,-45.58,-41.49,-37.53,-33.24,-30.34,-27.14,-23.78,-21.06,-18.66,-16.23,-14.03,-2.15,7.7,19.04,22.1,33.04,48.13,56.63,49.36,31.52,24.19,11.42,17.86,9.92,0.02,6,2
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00003.wav,3,bird,Freesound,478637,"soumen59, FS478637. Accessible at https://freesound.org/s/478637.",Creative Commons 0,Oriental Magpie-Robin,0.029076,46.058554,0.034462,47.034447,0.039853,47.974053,0.045801,48.9346,0.05249,49.924749,0.059806,50.901391,0.069285,52.067913,0.077749,52.985272,0.087242,53.928421,0.099464,55.015262,0.111524,55.978077,0.127025,57.083299,0.142499,58.063219,0.159887,59.047391,0.179396,60.038189,0.201285,61.028234,0.225846,62.02328,0.253403,63.018161,0.284323,64.016,0.319016,65.014872,0.357941,66.013562,0.401617,67.014323,0.450622,68.013966,0.505606,69.013935,0.567299,70.013588,0.63652,71.013781,0.714187,72.013195,0.801331,73.013077,0.899108,74.013184,1.008816,75.01371,1.13191,76.012678,1.270024,77.013656,1.42499,78.014064,1.598866,79.014204,1.793957,80.014215,2.012852,81.014128,2.258458,82.013969,2.534031,83.012674,2.07,3.67,10.1,3.43,3.26,2.86,2.72,2.58,2.3,1.96,1.68,1.02,0.522,0.308,2.92,4.701351471,12.2,28.8,7.58,6.79,5.67,4.85,3.95,2.66,0.584,0.108,0.0897,0.0807,0.0756,0.0732,0.169,22.5,0.15,0.139,0.114,0.0992,0.0855,0.0738,0.0607,0.0451,0.0248,0.0101,0.00386,58.02,16.15,4.56,68.7,28.9,63.95,62.43,60.54,58.75,56.67,53.13,45.06,27.27,18.04,17.09,16.86,56.24,14.31,4.56,66.92,28.9,62.14,60.63,58.75,56.98,54.96,51.41,43.35,25.97,16.92,15.68,15.35,0.0114,0.049,0.577,0.0256,0.0213,0.0176,0.0148,0.0124,0.01,0.00745,0.00538,0.00416,0.0033,0.00266,0.722,0.53,2.37,0.443,1.57,1.31,1.0,0.8,0.606,0.406,0.219,0.0338,0.0041,0.00181,0.00118,-70.23,-68.88,-70.75,-99.76,-93.03,-86.37,-78.2,-71.84,-65.88,-60.49,-55.7,-49.85,-45.5,-41.67,-37.45,-33.22,-30.36,-26.93,-23.55,-4.16,4.57,19.3,4.01,-0.65,-2.41,15.78,35.68,41.96,49.05,55.44,52.49,37.04,14.7,-3.2,-4.61,3.6,7.32,-3,3
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00004.wav,4,bird,Xeno-Canto,50850,"Bernabe Lopez-Lanus, XC50850. Accessible at www.xeno-canto.org/50850.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Common Diuca-Finch,0.002319,46.077884,0.0027,46.950498,0.003138,47.910401,0.003689,49.032247,0.004256,50.047222,0.00484,51.044899,0.005487,52.02909,0.006208,53.019687,0.007011,54.016144,0.007908,55.014851,0.008903,56.010972,0.010116,57.082809,0.011351,58.053568,0.012736,59.038347,0.01429,60.026705,0.016034,61.017482,0.01799,62.010555,0.020185,63.003901,0.022648,64.000936,0.025411,64.997955,0.028512,65.996618,0.031991,66.993626,0.035895,67.992237,0.040274,68.991515,0.045189,69.991414,0.050702,70.990845,0.056889,71.99114,0.063831,72.990385,0.071619,73.990169,0.080358,74.989672,0.090163,75.991173,0.101165,76.990907,0.113509,77.991715,0.127359,78.992516,0.142899,79.994189,0.160335,80.99485,0.179899,81.995768,0.20185,82.996398,0.997,3.41,3.45,2.6,2.33,2.02,1.83,1.67,0.573,0.0591,0.00316,6.4e-05,2.83e-11,0.0,1.38,2.882335361,8.66,22.0,5.21,4.25,3.03,1.86,0.858,0.33,0.144,0.0703,0.0419,0.0363,0.0344,0.377,0.804,20.7,0.626,0.581,0.532,0.5,0.457,0.404,0.359,0.304,0.178,0.0792,0.0576,53.75,11.54,0.0116,62.97,22.0,60.0,58.59,56.14,53.99,51.6,49.16,46.55,43.45,36.96,19.7,12.4,52.07,10.03,0.0058,61.25,22.0,58.3,56.89,54.47,52.3,49.96,47.51,44.89,41.79,35.33,18.06,10.8,0.0158,0.085,22.8,0.0535,0.0434,0.0302,0.0199,0.0116,0.0064,0.00385,0.00333,0.00298,0.00262,0.00236,0.306,0.169,1.34,20.2,0.694,0.555,0.335,0.198,0.107,0.0412,0.00787,0.00262,0.00134,0.000397,0.0,-70.05,-68.71,-70.58,-99.37,-92.69,-86.05,-78.31,-72.22,-65.95,-60.22,-55.5,-49.62,-44.99,-41.0,-36.86,-32.82,-29.71,-26.55,-23.38,-20.48,-17.85,-14.72,-11.83,-9.44,6.52,26.33,39.11,47.23,50.89,46.44,39.22,24.28,-1.68,-5.03,-5.82,-6.3,-7.67,6,4
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00005.wav,2,bird,Xeno-Canto,85417,"Jeremy Minns, XC85417. Accessible at www.xeno-canto.org/85417.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Ornate Hawk Eagle,0.001926,46.089384,0.002242,46.974656,0.002605,47.929864,0.003054,49.043528,0.003524,50.046565,0.004009,51.047759,0.004546,52.019283,0.005144,53.020926,0.005812,54.012555,0.006551,55.011529,0.007382,56.010188,0.008398,57.093192,0.009422,58.06536,0.010572,59.049215,0.011862,60.036813,0.013309,61.023939,0.014933,62.017729,0.016755,63.012246,0.0188,64.007938,0.021094,65.005278,0.023668,66.001819,0.026555,66.999976,0.029796,67.998738,0.033431,68.998197,0.037511,69.996542,0.042088,70.996082,0.047223,71.995828,0.052985,72.994389,0.05945,73.994176,0.066704,74.994131,0.074844,75.993977,0.083976,76.994151,0.094222,77.99453,0.105719,78.995054,0.118619,79.995701,0.133093,80.996434,0.149333,81.996797,0.167554,82.997057,0.637,3.11,24.2,2.59,2.46,1.97,0.443,0.00539,4.75e-05,2.32e-07,7.71e-10,1e-14,0.0,0.0,0.901,3.039776477,10.0,5.93,6.0,4.1,0.888,0.157,0.0506,0.0324,0.0291,0.0273,0.0257,0.0238,0.0223,0.195,0.498,8.23,0.445,0.396,0.296,0.255,0.227,0.212,0.171,0.127,0.02,0.00107,0.000322,52.63,9.28,0.0232,65.67,5.95,60.35,57.94,53.2,47.89,42.53,37.08,31.51,25.25,11.98,11.76,11.69,50.96,7.92,0.029,63.97,5.95,58.65,56.28,51.54,46.24,40.87,35.4,29.83,23.58,10.5,10.27,10.21,0.00524,0.0209,26.9,0.0124,0.0092,0.00636,0.00527,0.00464,0.00419,0.00383,0.00354,0.00326,0.00291,0.00268,0.516,0.206,2.16,25.4,1.41,0.741,0.263,0.1,0.0181,0.00468,0.00297,0.00199,0.0013,0.00067,0.000154,-70.15,-68.81,-70.67,-99.07,-92.43,-85.8,-78.15,-71.85,-65.43,-59.73,-54.83,-49.57,-45.05,-40.76,-36.73,-32.58,-29.57,-26.22,-23.01,-20.17,-17.93,-15.29,-13.21,-6.04,-3.02,-1.94,23.0,47.3,50.67,14.7,37.63,36.01,25.12,16.99,9.71,-5.93,-6.78,-6,5
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00006.wav,1,bird,Xeno-Canto,109203,"Andrew Spencer, XC109203. Accessible at www.xeno-canto.org/109203.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Black Rail,0.002518,45.931813,0.003046,47.011036,0.003539,47.970597,0.00413,49.049281,0.004719,50.021769,0.005429,51.05626,0.006159,52.034008,0.00697,53.021977,0.007867,54.00759,0.008879,55.014872,0.010005,56.012969,0.011265,57.013586,0.012805,58.095523,0.014367,59.063625,0.01612,60.052821,0.018087,61.041842,0.020294,62.032103,0.02277,63.024607,0.025549,64.019391,0.028666,65.015654,0.032164,66.011909,0.036088,67.008677,0.040492,68.005786,0.045433,69.004303,0.050976,70.002488,0.057196,71.00112,0.064175,72.000248,0.072006,72.998121,0.080792,73.996751,0.09065,74.996187,0.101711,75.99664,0.114122,76.996136,0.128047,77.995966,0.143671,78.996181,0.161201,79.997179,0.180871,80.997612,0.202941,81.998064,0.227703,82.998483,0.792,2.4,21.3,1.97,1.89,1.68,1.37,1.24,0.551,0.165,0.0151,0.000257,9.81e-08,2.98e-11,1.09,2.900473719,11.4,25.5,4.85,4.15,2.06,0.774,0.33,0.145,0.0747,0.0421,0.0231,0.0094,0.00466,0.161,0.399,16.5,0.329,0.274,0.237,0.211,0.186,0.158,0.135,0.112,0.0795,0.0337,0.0103,53.62,7.74,0.0232,68.03,25.5,60.96,58.55,54.43,49.79,45.52,39.58,33.89,27.54,19.02,12.41,10.97,52.03,7.07,0.0232,66.33,25.5,59.29,57.05,52.97,48.41,44.17,38.21,32.5,26.24,17.75,11.05,9.85,0.0213,0.105,11.5,0.0733,0.0633,0.0421,0.0217,0.0121,0.0083,0.00665,0.0056,0.00483,0.00396,0.00346,0.245,0.188,2.09,15.2,0.791,0.45,0.313,0.184,0.104,0.0702,0.0443,0.0277,0.0156,0.00335,0.0,-70.17,-68.83,-70.69,-96.7,-91.26,-85.04,-78.37,-71.98,-65.03,-59.71,-55.06,-49.47,-44.79,-40.98,-37.02,-32.59,-29.89,-26.58,-23.28,-20.26,-12.05,12.18,30.07,22.29,21.68,45.73,36.12,36.55,52.58,17.88,13.86,-2.45,-2.47,0.63,-4.59,-5.59,-5.37,6,6
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00007.wav,4,bird,Xeno-Canto,112734,"Niels Krabbe, XC112734. Accessible at www.xeno-canto.org/112734.",Creative Commons Attribution-ShareAlike 3.0,Zimmer's Tapaculo,0.008577,46.050044,0.010234,47.081293,0.011866,48.026274,0.013703,49.025077,0.015813,50.062984,0.017974,51.045455,0.020386,52.026536,0.023071,53.015367,0.02607,54.017754,0.029393,55.007024,0.033421,56.079783,0.037493,57.054276,0.042061,58.029625,0.047191,59.013808,0.052957,60.001017,0.059406,60.99226,0.066649,61.983874,0.074773,62.977867,0.083916,63.977586,0.094122,64.972858,0.105609,65.971062,0.118484,66.970577,0.132933,67.968584,0.149131,68.967719,0.167331,69.967893,0.187739,70.968322,0.210641,71.968256,0.236344,72.968195,0.265174,73.967547,0.297523,74.968538,0.333838,75.970197,0.374587,76.969485,0.420258,77.969957,0.471658,78.970922,0.529209,79.972882,0.593831,80.974133,0.666319,81.975722,0.747746,82.977839,2.24,4.07,13.6,2.53,2.46,2.38,2.32,2.26,2.21,2.17,2.14,2.1,2.03,1.99,2.78,3.933233705,12.3,14.1,6.52,5.4,4.2,3.52,3.03,2.53,2.07,1.5,0.803,0.493,0.427,0.254,0.473,27.5,0.432,0.388,0.336,0.319,0.291,0.255,0.203,0.192,0.173,0.131,0.117,55.76,24.26,0.0174,64.82,17.1,61.53,60.18,57.22,55.87,54.74,53.52,51.97,50.0,46.95,40.62,34.28,54.04,22.95,0.0174,63.07,17.1,59.79,58.45,55.53,54.17,53.05,51.84,50.31,48.33,45.3,38.99,32.69,0.0249,0.0738,22.7,0.0497,0.0435,0.0374,0.0329,0.0291,0.0249,0.0204,0.0149,0.00878,0.00627,0.00537,0.134,0.099,0.771,27.6,0.333,0.255,0.167,0.119,0.0877,0.0623,0.0432,0.0239,0.00991,0.00288,0.000609,-69.95,-68.6,-70.47,-100.07,-93.1,-86.39,-78.56,-72.19,-66.4,-60.85,-55.56,-50.39,-45.52,-41.57,-37.42,-33.34,-30.66,-27.25,-23.95,-20.89,1.91,6.6,9.58,11.48,21.66,38.45,43.18,41.81,50.54,53.0,41.31,28.63,14.45,10.59,8.63,1.59,-1.25,6,7
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00008.wav,3,bird,Xeno-Canto,122469,"Chris Harrison, XC122469. Accessible at www.xeno-canto.org/122469.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Long-billed Thrasher,0.003037,46.051381,0.003591,47.028681,0.004159,47.969454,0.004785,48.95164,0.005473,49.928505,0.006241,50.924415,0.007164,52.019737,0.008043,52.938146,0.009176,54.020779,0.010303,54.971048,0.011746,56.075187,0.013176,57.046701,0.014759,58.017036,0.01656,59.003,0.01858,59.995578,0.020847,60.98681,0.023391,61.983793,0.026245,62.980945,0.029448,63.980705,0.033041,64.97963,0.037073,65.982077,0.041596,66.983701,0.046672,67.986008,0.052366,68.98647,0.058756,69.988274,0.065925,70.989109,0.073969,71.989749,0.082995,72.990501,0.093122,73.992016,0.104485,74.992908,0.117234,75.992932,0.131538,76.994092,0.147588,77.995522,0.165597,78.996593,0.185803,79.997217,0.208474,80.997554,0.233912,81.997818,0.262453,82.997447,2.06,4.91,28.8,3.32,2.81,2.52,2.36,2.21,2.08,1.98,1.88,1.75,0.967,0.323,2.16,3.430147494,9.3,17.6,5.82,5.07,3.81,2.89,2.18,1.56,1.07,0.725,0.468,0.258,0.169,0.413,0.679,28.2,0.598,0.557,0.497,0.464,0.441,0.42,0.403,0.382,0.357,0.308,0.104,54.0,5.95,0.0174,62.81,17.6,58.89,57.76,56.08,54.8,53.31,51.86,50.45,49.05,47.28,44.66,42.37,52.3,4.65,0.0639,61.06,17.6,57.17,56.07,54.37,53.1,51.64,50.19,48.8,47.39,45.64,43.04,40.7,0.0274,0.235,14.9,0.0909,0.0638,0.0396,0.0285,0.0208,0.0153,0.0122,0.00969,0.00743,0.00573,0.00498,0.326,0.283,1.46,7.42,0.879,0.69,0.487,0.374,0.278,0.196,0.125,0.0774,0.0417,0.0105,0.0,-69.94,-68.59,-70.46,-100.01,-93.26,-86.59,-78.69,-72.54,-65.72,-60.39,-55.55,-50.19,-45.58,-41.01,-37.51,-33.08,-30.12,-26.99,-23.71,-20.43,-17.14,-10.11,-2.33,3.78,17.42,28.45,40.22,46.44,50.61,47.77,38.6,38.26,30.17,27.1,18.47,-1.92,-7.32,6,8
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00009.wav,2,bird,Xeno-Canto,133059,"Andrew Spencer, XC133059. Accessible at www.xeno-canto.org/133059.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Black-capped Vireo,0.003571,46.049585,0.004245,47.055994,0.00495,48.033096,0.005698,49.004787,0.006584,50.060834,0.007487,51.043889,0.008493,52.020785,0.009616,53.019086,0.010858,54.009575,0.012248,55.002132,0.013943,56.089595,0.015644,57.062387,0.017553,58.038495,0.019694,59.022627,0.022096,60.008741,0.024791,61.001623,0.027814,61.991549,0.031208,62.9859,0.035014,63.981443,0.039286,64.978176,0.044079,65.978233,0.049455,66.975515,0.055489,67.975413,0.062259,68.975159,0.069854,69.975311,0.078381,70.976225,0.087943,71.976199,0.098677,72.976744,0.110722,73.977979,0.124234,74.978733,0.139401,75.97996,0.156415,76.980822,0.175513,77.981877,0.196942,78.983186,0.220978,79.983337,0.247955,80.984636,0.27823,81.985858,0.312202,82.98743,1.73,4.29,12.8,3.47,3.27,2.97,2.61,2.28,2.13,1.44,0.589,0.107,0.00194,5.76e-05,2.26,3.999640332,11.1,8.23,6.79,5.84,4.54,3.38,2.3,1.37,0.659,0.235,0.0887,0.0461,0.0283,0.299,0.777,12.0,0.592,0.449,0.398,0.359,0.338,0.324,0.271,0.207,0.164,0.121,0.0312,58.08,11.13,0.0116,68.45,8.24,63.94,61.92,59.78,58.24,56.69,55.15,53.34,51.03,47.99,42.86,38.72,56.28,9.91,0.232,66.65,8.24,62.15,60.1,58.0,56.45,54.89,53.34,51.53,49.26,46.22,41.06,36.91,0.0476,0.26,12.6,0.158,0.122,0.0798,0.0571,0.0394,0.0285,0.0204,0.0131,0.00709,0.00495,0.00398,0.168,0.115,1.1,17.0,0.463,0.337,0.195,0.121,0.0784,0.0478,0.029,0.0168,0.00658,0.000692,0.0,-70.04,-68.69,-70.56,-99.8,-93.36,-86.78,-78.97,-72.55,-66.28,-60.63,-55.56,-49.85,-45.5,-41.48,-37.2,-33.2,-30.37,-27.08,-23.61,-20.8,-15.41,-6.13,-2.6,-1.81,2.43,22.35,29.96,40.89,50.61,52.92,53.9,48.44,30.05,11.91,7.47,12.11,-1.65,6,9
65,1,of2.wav,1,1,1,1,1,1,1,1,1,00001,bird_00010.wav,1,bird,Xeno-Canto,134886,"Tom Forwood Jr., XC134886. Accessible at www.xeno-canto.org/134886.",Creative Commons Attribution-NonCommercial-ShareAlike 3.0,Pine Siskin,0.013556,46.040518,0.01614,47.040627,0.018756,47.995562,0.021877,49.086326,0.024959,50.046448,0.028396,51.022471,0.032211,52.01805,0.036468,53.000149,0.041195,53.997155,0.046477,54.996999,0.052363,55.993886,0.059524,57.08345,0.066797,58.061753,0.074961,59.047692,0.084128,60.039445,0.094408,61.028827,0.105957,62.024332,0.118903,63.021574,0.133452,64.021382,0.149755,65.020984,0.168089,66.023465,0.188654,67.026679,0.211712,68.027838,0.237608,69.032754,0.26666,70.035181,0.299287,71.039593,0.335937,72.044775,0.377007,73.048515,0.423141,74.052675,0.474903,75.057846,0.532991,76.06202,0.598204,77.066483,0.671337,78.070209,0.753516,79.075336,0.845662,80.079066,0.94904,81.082581,1.065064,82.08586,1.195191,83.088867,3.12,4.29,2.91,3.87,3.8,3.67,3.52,3.37,3.2,3.04,2.83,2.56,2.33,2.18,3.97,6.40445538,16.7,12.1,12.1,9.59,6.52,5.01,3.98,2.87,1.97,1.58,1.08,0.457,0.284,0.057,0.163,14.7,0.12,0.105,0.0845,0.0723,0.0618,0.0514,0.0409,0.0325,0.0272,0.0202,0.0177,62.11,6.09,0.0116,75.07,12.1,70.33,67.01,60.39,57.22,53.83,50.65,47.18,43.07,40.03,36.25,32.27,60.25,4.66,0.0058,73.21,12.1,68.47,65.15,58.55,55.38,52.0,48.81,45.38,41.27,38.24,34.53,30.51,0.0278,0.265,6.81,0.108,0.0757,0.0385,0.0213,0.0151,0.0118,0.00976,0.00809,0.00664,0.00533,0.00454,0.176,0.158,1.62,25.7,0.494,0.341,0.238,0.182,0.14,0.109,0.082,0.0592,0.0403,0.0186,0.0061,-69.96,-68.61,-70.48,-100.05,-93.23,-86.55,-78.93,-72.39,-66.08,-60.23,-55.22,-50.11,-45.55,-41.61,-37.86,-33.41,-30.28,-27.32,-23.78,-20.9,-18.79,-16.1,-14.02,3.33,13.84,22.07,28.95,33.55,39.89,48.34,59.62,57.43,48.07,30.27,18.76,22.18,8.5,3,10
